UpperArm_LowerArm_WristTwist_1,UpperArm_LowerArm_WristTwist_2,UpperArm_LowerArm_WristTwist_3,UpperArm_LowerArm_WristTwist_4,UpperArm_LowerArm_WristTwist_1,UpperArm_LowerArm_WristTwist_2,UpperArm_LowerArm_WristTwist_3,UpperArm_LowerArm_WristTwist_4
1,1,1,1,2,2,2,2
2,2,2,2,3,3,3,3
3,3,3,3,4,4,4,4
3,3,3,3,4,4,4,4
4,4,4,4,5,5,5,5
4,4,4,4,5,5,5,5
4,4,4,4,5,5,5,5
5,5,5,5,6,6,6,6
5,5,5,5,6,6,6,6
5,5,5,5,6,6,6,6
6,6,6,6,7,7,7,7
6,6,6,6,7,7,7,7
6,6,6,6,7,7,7,7
7,7,7,7,8,8,8,8
7,7,7,7,8,8,8,8
8,8,8,8,9,9,9,9
8,8,8,8,9,9,9,9
9,9,9,9,9,9,9,9
